acceleration,topspeed,erange_real,efficiency,fastcharge_speed hidden,model,battery,car_link,car_oem,market_segment
8.8,185,365,148,900.0,IONIQ,54.0,https://ev-database.org/car/1717/Hyundai-IONIQ-6-Standard-Range-2WD,Hyundai,D
19.1,125,165,152,180.0,Spring,25.0,https://ev-database.org/car/2126/Dacia-Spring-Electric-45,Dacia,A
9.6,175,405,215,370.0,SEAL,87.0,https://ev-database.org/car/2067/BYD-SEAL-U-87-kWh-Design,BYD,D
7.7,185,335,171,330.0,MG5,57.4,https://ev-database.org/car/1474/MG-MG5-Electric-Long-Range,MG,C
3.9,250,475,200,660.0,Model,95.0,https://ev-database.org/car/1407/Tesla-Model-X-Dual-Motor,Tesla,F
3.8,200,465,202,630.0,4,94.0,https://ev-database.org/car/1842/Polestar-4-Long-Range-Dual-Motor,Polestar,E
6.4,205,405,165,480.0,2,67.0,https://ev-database.org/car/1817/Polestar-2-Standard-Range-Single-Motor,Polestar,D
9.4,185,450,213,850.0,EV9,96.0,https://ev-database.org/car/1834/Kia-EV9-998-kWh-RWD,Kia,F
2.9,260,455,240,950.0,Eletre,109.0,https://ev-database.org/car/1768/Lotus-Eletre-R,Lotus,F
3.8,230,420,193,670.0,i5,81.2,https://ev-database.org/car/1907/BMW-i5-M60-xDrive-Sedan,BMW,E
9.2,150,260,178,420.0,Mokka-e,46.3,https://ev-database.org/car/1586/Opel-Mokka-e-50-kWh,Opel,B
3.8,200,320,193,560.0,MG4,61.7,https://ev-database.org/car/1944/MG-MG4-Electric-XPOWER,MG,C
7.3,180,400,198,600.0,EX40,79.0,https://ev-database.org/car/2121/Volvo-EX40-Single-Motor-ER,Volvo,C
7.4,160,360,197,480.0,Ocean,71.0,https://ev-database.org/car/1709/Fisker-Ocean-Sport,Fisker,D
3.7,180,330,188,510.0,#3,62.0,https://ev-database.org/car/2000/Smart-3-Brabus,Smart,B
5.6,200,525,202,660.0,Q8,106.0,https://ev-database.org/car/1772/Audi-Q8-e-tron-Sportback-55-quattro,Audi,E
6.7,170,310,158,440.0,Cooper,49.0,https://ev-database.org/car/1998/Mini-Cooper-SE,Mini,B
8.5,150,305,158,470.0,Ypsilon,48.1,https://ev-database.org/car/2117/Lancia-Ypsilon,Lancia,B
7.3,210,525,170,660.0,EQE,89.0,https://ev-database.org/car/1897/Mercedes-Benz-EQE-300,Mercedes-Benz,E
4.8,230,560,173,1230.0,Taycan,97.0,https://ev-database.org/car/2099/Porsche-Taycan-Plus,Porsche,F
6.6,180,460,167,710.0,ID.7,77.0,https://ev-database.org/car/2118/Volkswagen-ID7-Tourer-Pro,Volkswagen,E
9.5,140,310,168,230.0,Zoe,52.0,https://ev-database.org/car/1205/Renault-Zoe-ZE50-R135,Renault,B
3.3,260,480,198,960.0,Macan,95.0,https://ev-database.org/car/2085/Porsche-Macan-Turbo-Electric,Porsche,D
7.0,180,505,170,810.0,ID.7,86.0,https://ev-database.org/car/2119/Volkswagen-ID7-Tourer-Pro-S,Volkswagen,E
6.9,160,315,203,470.0,bZ4X,64.0,https://ev-database.org/car/1565/Toyota-bZ4X-AWD,Toyota,C
7.4,180,495,190,670.0,4,94.0,https://ev-database.org/car/1841/Polestar-4-Long-Range-Single-Motor,Polestar,E
6.4,210,530,171,790.0,EQE,90.6,https://ev-database.org/car/2006/Mercedes-Benz-EQE-350plus,Mercedes-Benz,E
9.2,180,365,230,420.0,MIFA,84.0,https://ev-database.org/car/1837/Maxus-MIFA-9,Maxus,N
7.0,180,480,190,420.0,Mustang,91.0,https://ev-database.org/car/2035/Ford-Mustang-Mach-E-ER-RWD,Ford,D
2.8,262,455,209,630.0,Model,95.0,https://ev-database.org/car/1408/Tesla-Model-X-Plaid,Tesla,F
4.3,210,590,184,880.0,EQS,108.4,https://ev-database.org/car/2011/Mercedes-Benz-EQS-580-4MATIC,Mercedes-Benz,F
6.2,160,345,193,500.0,EQB,66.5,https://ev-database.org/car/1990/Mercedes-Benz-EQB-350-4MATIC,Mercedes-Benz,C
8.7,160,335,173,450.0,Enyaq,58.0,https://ev-database.org/car/2019/Skoda-Enyaq-60,Skoda,C
5.8,180,445,204,390.0,Mustang,91.0,https://ev-database.org/car/2037/Ford-Mustang-Mach-E-ER-AWD,Ford,D
8.8,160,295,164,280.0,Kona,48.4,https://ev-database.org/car/1829/Hyundai-Kona-Electric-48-kWh,Hyundai,B
6.7,180,455,169,680.0,ID.5,77.0,https://ev-database.org/car/2031/Volkswagen-ID5-Pro,Volkswagen,C
9.8,170,300,169,450.0,e-308,50.8,https://ev-database.org/car/1744/Peugeot-e-308,Peugeot,C
4.5,205,450,176,670.0,2,79.0,https://ev-database.org/car/1819/Polestar-2-Long-Range-Dual-Motor,Polestar,D
9.0,150,305,167,490.0,600e,50.8,https://ev-database.org/car/1945/Fiat-600e,Fiat,B
4.8,230,485,170,1070.0,Taycan,82.3,https://ev-database.org/car/2098/Porsche-Taycan,Porsche,F
9.0,170,370,197,430.0,e-5008,73.0,https://ev-database.org/car/2149/Peugeot-e-5008-73-kWh,Peugeot,D
6.9,157,340,174,240.0,Leaf,59.0,https://ev-database.org/car/1657/Nissan-Leaf-eplus,Nissan,C
8.6,175,265,185,250.0,ZS,49.0,https://ev-database.org/car/1540/MG-ZS-EV-Standard-Range,MG,B
13.7,125,160,156,170.0,Spring,25.0,https://ev-database.org/car/1813/Dacia-Spring-Electric-65-Extreme,Dacia,A
9.1,150,300,169,480.0,e-2008,50.8,https://ev-database.org/car/1947/Peugeot-e-2008-54-kWh,Peugeot,B
9.7,170,490,200,640.0,e-5008,98.0,https://ev-database.org/car/2151/Peugeot-e-5008-98-kWh-Long-Range,Peugeot,D
9.0,150,290,160,460.0,e-208,46.3,https://ev-database.org/car/1948/Peugeot-e-208-50-kWh,Peugeot,B
7.3,180,345,194,530.0,EX40,67.0,https://ev-database.org/car/2120/Volvo-EX40-Single-Motor,Volvo,C
7.9,160,455,169,680.0,ID.3,77.0,https://ev-database.org/car/1832/Volkswagen-ID3-Pro-S---4-Seats,Volkswagen,C
5.6,180,430,179,640.0,Tavascan,77.0,https://ev-database.org/car/1972/CUPRA-Tavascan-VZ,CUPRA,C
8.2,150,310,155,480.0,e-208,48.1,https://ev-database.org/car/1949/Peugeot-e-208-51-kWh,Peugeot,B
4.3,230,445,213,890.0,SQ6,94.9,https://ev-database.org/car/2147/Audi-SQ6-e-tron,Audi,D
5.7,160,460,172,690.0,Born,79.0,https://ev-database.org/car/2128/CUPRA-Born-VZ,CUPRA,C
4.8,200,380,223,360.0,I-Pace,84.7,https://ev-database.org/car/1812/Jaguar-I-Pace-EV400,Jaguar,D
6.0,180,460,172,690.0,ID.3,79.0,https://ev-database.org/car/2152/Volkswagen-ID3-GTX,Volkswagen,C
8.5,185,305,177,750.0,EV6,54.0,https://ev-database.org/car/1480/Kia-EV6-Standard-Range-2WD,Kia,C
4.1,200,455,182,730.0,P7,82.7,https://ev-database.org/car/1823/XPENG-P7-Wing-Edition,XPENG,E
8.6,170,395,164,530.0,iX2,64.7,https://ev-database.org/car/2097/BMW-iX2-eDrive20,BMW,C
4.4,200,480,208,360.0,Free,100.0,https://ev-database.org/car/2049/Voyah-Free-106-kWh,Voyah,E
9.7,150,285,162,460.0,e-C4,46.3,https://ev-database.org/car/1706/Citroen-e-C4-X,Citroen,C
6.5,200,520,237,520.0,VF,123.0,https://ev-database.org/car/1811/VinFast-VF-9-Extended-Range,VinFast,F
3.8,250,485,217,650.0,iX,105.2,https://ev-database.org/car/1590/BMW-iX-M60,BMW,E
7.9,200,365,192,400.0,Marvel,70.0,https://ev-database.org/car/1524/MG-Marvel-R,MG,C
6.0,200,425,209,660.0,Q8,89.0,https://ev-database.org/car/1769/Audi-Q8-e-tron-50-quattro,Audi,E
3.2,250,580,159,970.0,Air,92.0,https://ev-database.org/car/1317/Lucid-Air-Touring,Lucid,F
8.7,150,295,157,470.0,Corsa,46.3,https://ev-database.org/car/1941/Opel-Corsa-Electric-50-kWh,Opel,B
5.5,180,455,169,680.0,Enyaq,77.0,https://ev-database.org/car/2026/Skoda-Enyaq-Coupe-RS,Skoda,C
8.3,160,260,175,240.0,ORA,45.4,https://ev-database.org/car/2091/GWM-ORA-3-48-kWh,GWM,C
6.6,180,395,195,590.0,Q4,77.0,https://ev-database.org/car/2014/Audi-Q4-e-tron-45-quattro,Audi,C
9.0,160,280,186,350.0,Explorer,52.0,https://ev-database.org/car/2167/Ford-Explorer-Standard-Range-RWD,Ford,C
5.0,210,490,218,640.0,3,107.0,https://ev-database.org/car/1758/Polestar-3-Long-Range-Dual-motor,Polestar,E
2.3,290,475,204,1050.0,Taycan,97.0,https://ev-database.org/car/2144/Porsche-Taycan-Turbo-GT,Porsche,F
7.5,160,335,188,450.0,Ariya,63.0,https://ev-database.org/car/1301/Nissan-Ariya-63kWh,Nissan,C
6.6,180,440,175,660.0,Enyaq,77.0,https://ev-database.org/car/2021/Skoda-Enyaq-85x,Skoda,C
6.4,200,395,192,830.0,G9,75.8,https://ev-database.org/car/1824/XPENG-G9-RWD-Standard-Range,XPENG,E
4.2,250,530,189,1230.0,Emeya,100.0,https://ev-database.org/car/2141/Lotus-Emeya,Lotus,F
5.4,180,420,183,630.0,ID.4,77.0,https://ev-database.org/car/2030/Volkswagen-ID4-GTX,Volkswagen,C
6.4,200,480,194,1120.0,G9,93.1,https://ev-database.org/car/1825/XPENG-G9-RWD-Long-Range,XPENG,E
3.7,250,550,176,1210.0,Taycan,97.0,https://ev-database.org/car/2101/Porsche-Taycan-4S-Plus,Porsche,F
7.5,150,315,190,380.0,U5,60.0,https://ev-database.org/car/1678/Aiways-U5,Aiways,C
9.0,160,285,182,360.0,ID.4,52.0,https://ev-database.org/car/2027/Volkswagen-ID4-Pure,Volkswagen,C
6.1,193,455,178,730.0,i5,81.2,https://ev-database.org/car/2114/BMW-i5-eDrive40-Touring,BMW,E
6.6,180,425,181,630.0,ID.4,77.0,https://ev-database.org/car/2029/Volkswagen-ID4-Pro-4MOTION,Volkswagen,C
5.9,180,465,230,610.0,EX90,107.0,https://ev-database.org/car/1775/Volvo-EX90-Twin-Motor,Volvo,F
3.8,200,505,178,530.0,ET7,90.0,https://ev-database.org/car/1752/NIO-ET7-100-kWh,NIO,F
4.9,200,350,200,380.0,Marvel,70.0,https://ev-database.org/car/1475/MG-Marvel-R-Performance,MG,C
7.8,185,390,190,1020.0,GV60,74.0,https://ev-database.org/car/1647/Genesis-GV60-Premium,Genesis,C
6.7,200,495,167,800.0,P7,82.7,https://ev-database.org/car/1821/XPENG-P7-RWD-Long-Range,XPENG,E
2.7,320,420,198,980.0,GranTurismo,83.0,https://ev-database.org/car/1803/Maserati-GranTurismo-Folgore,Maserati,F
7.3,180,420,188,630.0,EC40,79.0,https://ev-database.org/car/2124/Volvo-EC40-Single-Motor-ER,Volvo,C
7.3,180,380,191,460.0,Mustang,72.6,https://ev-database.org/car/2034/Ford-Mustang-Mach-E-SR-RWD,Ford,D
5.6,210,610,178,910.0,EQS,108.4,https://ev-database.org/car/2009/Mercedes-Benz-EQS-450-4MATIC,Mercedes-Benz,F
8.0,160,345,193,500.0,EQB,66.5,https://ev-database.org/car/1989/Mercedes-Benz-EQB-300-4MATIC,Mercedes-Benz,C
3.7,250,490,208,730.0,i7,101.7,https://ev-database.org/car/1838/BMW-i7-M70-xDrive,BMW,F
8.5,156,290,193,330.0,Korando,56.0,https://ev-database.org/car/1589/SsangYong-Korando-e-Motion,SsangYong,C
5.4,180,395,195,590.0,Q4,77.0,https://ev-database.org/car/2015/Audi-Q4-e-tron-55-quattro,Audi,C
5.6,180,355,180,530.0,X,64.0,https://ev-database.org/car/1936/Zeekr-X-Long-Range-RWD,Zeekr,B
6.5,200,320,239,440.0,E-HS9,76.5,https://ev-database.org/car/1746/Hongqi-E-HS9-84-kWh,Hongqi,F
4.8,180,385,205,570.0,EX40,79.0,https://ev-database.org/car/2136/Volvo-EX40-Twin-Motor,Volvo,C
9.3,170,310,164,500.0,Astra,50.8,https://ev-database.org/car/1793/Opel-Astra-Sports-Tourer-Electric,Opel,C
6.8,210,540,219,680.0,EQS,118.0,https://ev-database.org/car/2087/Mercedes-Benz-EQS-SUV-450plus,Mercedes-Benz,F
7.3,160,235,157,360.0,Cooper,37.0,https://ev-database.org/car/1997/Mini-Cooper-E,Mini,B
6.5,160,355,242,570.0,ID.,86.0,https://ev-database.org/car/2157/Volkswagen-ID-Buzz-LWB-GTX-,Volkswagen,N
6.7,180,435,177,650.0,Q4,77.0,https://ev-database.org/car/2016/Audi-Q4-Sportback-e-tron-45,Audi,C
5.5,205,520,196,780.0,i7,101.7,https://ev-database.org/car/1905/BMW-i7-eDrive50,BMW,F
8.6,150,340,176,400.0,Scenic,60.0,https://ev-database.org/car/2068/Renault-Scenic-E-Tech-EV60-170hp,Renault,C
10.0,150,260,154,370.0,Megane,40.0,https://ev-database.org/car/1536/Renault-Megane-E-Tech-EV40-130hp,Renault,C
4.7,200,565,163,940.0,Air,92.0,https://ev-database.org/car/2116/Lucid-Air-Pure-RWD,Lucid,F
4.5,210,455,233,570.0,SQ8,106.0,https://ev-database.org/car/1773/Audi-SQ8-e-tron,Audi,E
3.7,200,425,214,380.0,Mustang,91.0,https://ev-database.org/car/2038/Ford-Mustang-Mach-E-GT,Ford,D
12.6,132,220,205,230.0,Kangoo,45.0,https://ev-database.org/car/1802/Renault-Kangoo-E-Tech-Electric,Renault,N
8.9,155,260,196,240.0,3,51.0,https://ev-database.org/car/1804/Seres-3,Seres,C
2.2,305,475,204,1050.0,Taycan,97.0,https://ev-database.org/car/2145/Porsche-Taycan-Turbo-GT-Weissach,Porsche,F
6.6,180,470,164,700.0,Enyaq,77.0,https://ev-database.org/car/2025/Skoda-Enyaq-Coupe-85x,Skoda,C
5.8,180,355,175,550.0,#3,62.0,https://ev-database.org/car/2054/Smart-3-Premium,Smart,B
